Total Timesteps: 3890	 Episode Num: 12	 Reward: -885
Total Timesteps: 3900	 Episode Num: 12	 Reward: -935
Total Timesteps: 3910	 Episode Num: 12	 Reward: -985
Total Timesteps: 3920	 Episode Num: 12	 Reward: -1035
Total Timesteps: 3930	 Episode Num: 12	 Reward: -1085
Total Timesteps: 3940	 Episode Num: 12	 Reward: -1135
Total Timesteps: 3950	 Episode Num: 12	 Reward: -1185
Total Timesteps: 3960	 Episode Num: 12	 Reward: -1235
Total Timesteps: 3970	 Episode Num: 12	 Reward: -1285
Total Timesteps: 3980	 Episode Num: 12	 Reward: -1335
Total Timesteps: 3990	 Episode Num: 12	 Reward: -1385
Total Timesteps: 4000	 Episode Num: 12	 Reward: -1435
Total Timesteps: 4010	 Episode Num: 12	 Reward: -1485
Total Timesteps: 4020	 Episode Num: 12	 Reward: -1535
Total Timesteps: 4030	 Episode Num: 12	 Reward: -1529
Total Timesteps: 4040	 Episode Num: 12	 Reward: -1523
Total Timesteps: 4050	 Episode Num: 12	 Reward: -1573
Total Timesteps: 4060	 Episode Num: 12	 Reward: -1623
Total Timesteps: 4070	 Episode Num: 12	 Reward: -1673
Total Timesteps: 4080	 Episode Num: 12	 Reward: -1723
Total Timesteps: 4090	 Episode Num: 12	 Reward: -1773
Total Timesteps: 4100	 Episode Num: 12	 Reward: -1823
Total Timesteps: 4110	 Episode Num: 12	 Reward: -1873
Total Timesteps: 4120	 Episode Num: 12	 Reward: -1923
Total Timesteps: 4130	 Episode Num: 12	 Reward: -1973
Total Timesteps: 4140	 Episode Num: 12	 Reward: -2023
Total Timesteps: 4150	 Episode Num: 12	 Reward: -2073
Total Timesteps: 4160	 Episode Num: 12	 Reward: -2123
Total Timesteps: 4170	 Episode Num: 12	 Reward: -2173
Total Timesteps: 4180	 Episode Num: 12	 Reward: -2223
Total Timesteps: 4190	 Episode Num: 12	 Reward: -2273
Total Timesteps: 4200	 Episode Num: 12	 Reward: -2323
Total Timesteps: 4210	 Episode Num: 12	 Reward: -2373
Total Timesteps: 4220	 Episode Num: 13	 Reward: -30
Total Timesteps: 4230	 Episode Num: 13	 Reward: -80
Total Timesteps: 4240	 Episode Num: 13	 Reward: -130
Total Timesteps: 4250	 Episode Num: 13	 Reward: -180
Total Timesteps: 4260	 Episode Num: 13	 Reward: -230
Total Timesteps: 4270	 Episode Num: 13	 Reward: -280
Total Timesteps: 4280	 Episode Num: 13	 Reward: -330
Total Timesteps: 4290	 Episode Num: 13	 Reward: -380
Total Timesteps: 4300	 Episode Num: 13	 Reward: -430
Total Timesteps: 4310	 Episode Num: 13	 Reward: -480
Total Timesteps: 4320	 Episode Num: 13	 Reward: -530
Total Timesteps: 4330	 Episode Num: 13	 Reward: -580
Total Timesteps: 4340	 Episode Num: 13	 Reward: -630
Total Timesteps: 4350	 Episode Num: 13	 Reward: -680
Total Timesteps: 4360	 Episode Num: 13	 Reward: -730
Total Timesteps: 4370	 Episode Num: 13	 Reward: -780
Total Timesteps: 4380	 Episode Num: 13	 Reward: -830
Total Timesteps: 4390	 Episode Num: 13	 Reward: -880
Total Timesteps: 4400	 Episode Num: 13	 Reward: -930
Total Timesteps: 4410	 Episode Num: 13	 Reward: -980
Total Timesteps: 4420	 Episode Num: 13	 Reward: -1030
Total Timesteps: 4430	 Episode Num: 13	 Reward: -1080
Total Timesteps: 4440	 Episode Num: 13	 Reward: -1130
Total Timesteps: 4450	 Episode Num: 13	 Reward: -1180
Total Timesteps: 4460	 Episode Num: 13	 Reward: -1230
Total Timesteps: 4470	 Episode Num: 13	 Reward: -1280
Total Timesteps: 4480	 Episode Num: 13	 Reward: -1330
Total Timesteps: 4490	 Episode Num: 13	 Reward: -1380
Total Timesteps: 4500	 Episode Num: 13	 Reward: -1430
Total Timesteps: 4510	 Episode Num: 13	 Reward: -1480
Total Timesteps: 4520	 Episode Num: 13	 Reward: -1530
Total Timesteps: 4530	 Episode Num: 13	 Reward: -1580
Total Timesteps: 4540	 Episode Num: 13	 Reward: -1630
Total Timesteps: 4550	 Episode Num: 13	 Reward: -1680
Total Timesteps: 4560	 Episode Num: 13	 Reward: -1730
Total Timesteps: 4570	 Episode Num: 13	 Reward: -1780
Total Timesteps: 4580	 Episode Num: 13	 Reward: -1830
Total Timesteps: 4590	 Episode Num: 13	 Reward: -1880
Total Timesteps: 4600	 Episode Num: 13	 Reward: -1930
Total Timesteps: 4610	 Episode Num: 13	 Reward: -1980
